YEAR,STATE/REGION,GDP_EXP_SUM,GeoFIPS,NAICS,NAICS_LDESC,BEA_GROUP,GDP,LEVEL,EST_POP
2011,MN,20732142776,27000,..0,All industry total,False,287070800000.0,1,5346620
2011,MO,14161092655,29000,..0,All industry total,False,263330000000.0,1,6011182
2011,MS,10938941186,28000,..0,All industry total,False,96799100000.0,1,2979147
2011,MT,1591805934,30000,..0,All industry total,False,40592300000.0,1,997518
2011,NC,27067046870,37000,..0,All industry total,False,430040100000.0,1,9658913
2011,ND,3392765415,38000,..0,All industry total,False,41602100000.0,1,685526
2011,NE,7587579923,31000,..0,All industry total,False,100526500000.0,1,1840914
2011,NH,4306552050,33000,..0,All industry total,False,66557300000.0,1,1320444
2011,NJ,38172316758,34000,..0,All industry total,False,494292800000.0,1,8828552
2011,NM,2095859917,35000,..0,All industry total,False,87056000000.0,1,2080707
2011,NV,7989585602,32000,..0,All industry total,False,128638400000.0,1,2713114
2011,NY,84999347161,36000,..0,All industry total,False,1245769400000.0,1,19499921
2011,OH,46457638989,39000,..0,All industry total,False,525456400000.0,1,11545735
2011,OK,6227675655,40000,..0,All industry total,False,167207900000.0,1,3788824
2011,OR,18316969121,41000,..0,All industry total,False,169693800000.0,1,3872672
2011,PA,41103128737,42000,..0,All industry total,False,623767900000.0,1,12747052
2011,RI,2288561451,44000,..0,All industry total,False,50123700000.0,1,1053829
2011,SC,24732577525,45000,..0,All industry total,False,172844700000.0,1,4672655
2011,SD,1461508120,46000,..0,All industry total,False,42082700000.0,1,823740
2011,TN,30016116443,47000,..0,All industry total,False,270055000000.0,1,6400298
2011,TX,251104278477,48000,..0,All industry total,False,1351776900000.0,1,25645504
2011,USA,1482507755226,0,..0,All industry total,False,15599732000000.0,1,311583481
2011,UT,18968255935,49000,..0,All industry total,False,125137800000.0,1,2814797
2011,VA,18124713206,51000,..0,All industry total,False,433683700000.0,1,8102437
2011,VT,4274554194,50000,..0,All industry total,False,28558500000.0,1,627197
2011,WA,64800272158,53000,..0,All industry total,False,377518800000.0,1,6827479
2011,WI,22068884434,55000,..0,All industry total,False,265444000000.0,1,5705840
2011,WV,9039171951,54000,..0,All industry total,False,69367600000.0,1,1856606
2011,WY,1218714268,56000,..0,All industry total,False,39615100000.0,1,567491
2012,AK,4543424891,2000,..0,All industry total,False,58320700000.0,1,730810
2012,AL,19576975820,1000,..0,All industry total,False,188280700000.0,1,4816632
2012,AR,7615199432,5000,..0,All industry total,False,108836000000.0,1,2952876
2012,AZ,18404658712,4000,..0,All industry total,False,272703300000.0,1,6556344
2012,CA,161757310648,6000,..0,All industry total,False,2108873100000.0,1,37944551
2012,CO,8170084468,8000,..0,All industry total,False,274738800000.0,1,5193660
2012,CT,15871128934,9000,..0,All industry total,False,239907500000.0,1,3595211
2012,DE,5113816930,10000,..0,All industry total,False,62342100000.0,1,915518
2012,FL,66222522916,12000,..0,All industry total,False,784545900000.0,1,19302016
2012,GA,36038507034,13000,..0,All industry total,False,449375600000.0,1,9903580
2012,HI,731679354,15000,..0,All industry total,False,71645600000.0,1,1395199
2012,IA,14622238610,19000,..0,All industry total,False,158553100000.0,1,3076844
2012,ID,6119917408,16000,..0,All industry total,False,57933700000.0,1,1595910
2012,IL,68157880309,17000,..0,All industry total,False,725478000000.0,1,12883029
2012,IN,34398866943,18000,..0,All industry total,False,301277400000.0,1,6538989
2012,KS,11683937630,20000,..0,All industry total,False,141812100000.0,1,2886024
2012,KY,22131550324,21000,..0,All industry total,False,178370600000.0,1,4387865
2012,LA,62868766110,22000,..0,All industry total,False,235960900000.0,1,4602067
2012,MA,25613948758,25000,..0,All industry total,False,441373900000.0,1,6664269
2012,MD,11745126175,24000,..0,All industry total,False,331869000000.0,1,5888375
2012,ME,3047876076,23000,..0,All industry total,False,54018500000.0,1,1328094
2012,MI,57051460900,26000,..0,All industry total,False,426141100000.0,1,9898289
2012,MN,20826551885,27000,..0,All industry total,False,298641400000.0,1,5377500
2012,MO,13903241672,29000,..0,All industry total,False,272482400000.00003,1,6026027
2012,MS,11793765943,28000,..0,All industry total,False,100905400000.0,1,2984599
2012,MT,1575986341,30000,..0,All industry total,False,42150200000.0,1,1004168
2012,NC,28838731833,37000,..0,All industry total,False,444063200000.0,1,9751810
2012,ND,4310298012,38000,..0,All industry total,False,52079100000.0,1,702227
