YEAR,STATE/REGION,GDP_IMP_SUM,GeoFIPS,NAICS,NAICS_LDESC,BEA_GROUP,GDP,LEVEL,EST_POP
2010,NY,113722242354,36000,..0,All industry total,False,1217748000000.0,1,19399956
2010,OH,52990268955,39000,..0,All industry total,False,500274200000.0,1,11539449
2010,OK,6526982976,40000,..0,All industry total,False,155267500000.0,1,3760014
2010,OR,13473096389,41000,..0,All industry total,False,163150500000.0,1,3837614
2010,PA,74587931378,42000,..0,All industry total,False,604629600000.0,1,12711406
2010,RI,7118694125,44000,..0,All industry total,False,49409100000.0,1,1053994
2010,SC,25678617657,45000,..0,All industry total,False,166767400000.0,1,4635846
2010,SD,694998558,46000,..0,All industry total,False,38208200000.0,1,816193
2010,TN,48201033325,47000,..0,All industry total,False,258657600000.0,1,6355518
2010,TX,265645642900,48000,..0,All industry total,False,1255660800000.0,1,25241897
2010,USA,1913856594014,0,..0,All industry total,False,15048971000000.0,1,309327143
2010,UT,8231138495,49000,..0,All industry total,False,118296300000.0,1,2775413
2010,VA,20426631353,51000,..0,All industry total,False,425490800000.0,1,8024004
2010,VT,3376342317,50000,..0,All industry total,False,27478300000.0,1,625886
2010,WA,42770678908,53000,..0,All industry total,False,363544200000.0,1,6743009
2010,WI,19688600428,55000,..0,All industry total,False,256159500000.0,1,5690538
2010,WV,3208029448,54000,..0,All industry total,False,66160399999.99999,1,1854265
2010,WY,1743354257,56000,..0,All industry total,False,37567500000.0,1,564531
2011,AK,1825787886,2000,..0,All industry total,False,56912300000.0,1,722349
2011,AL,17441393415,1000,..0,All industry total,False,182896700000.0,1,4799642
2011,AR,7211198071,5000,..0,All industry total,False,105697600000.0,1,2941038
2011,AZ,17570736055,4000,..0,All industry total,False,261691400000.0,1,6473416
2011,CA,351597458006,6000,..0,All industry total,False,2014050300000.0,1,37636311
2011,CO,11745392144,8000,..0,All industry total,False,266114099999.99997,1,5121900
2011,CT,24028255902,9000,..0,All industry total,False,233058700000.0,1,3588632
2011,DE,12167199204,10000,..0,All industry total,False,61379400000.0,1,907590
2011,FL,65339869231,12000,..0,All industry total,False,761043100000.0,1,19055607
2011,GA,67276958853,13000,..0,All industry total,False,433137100000.0,1,9803630
2011,HI,5974027318,15000,..0,All industry total,False,68801100000.0,1,1379562
2011,IA,8240761230,19000,..0,All industry total,False,149026100000.0,1,3066772
2011,ID,4859971682,16000,..0,All industry total,False,57418200000.0,1,1584272
2011,IL,122056611744,17000,..0,All industry total,False,691805500000.0,1,12867783
2011,IN,39519425612,18000,..0,All industry total,False,292373800000.0,1,6517250
2011,KS,9786202310,20000,..0,All industry total,False,136747100000.0,1,2869677
2011,KY,31969824313,21000,..0,All industry total,False,171238100000.0,1,4370817
2011,LA,82651758885,22000,..0,All industry total,False,230518700000.0,1,4576244
2011,MA,33367003099,25000,..0,All industry total,False,423684900000.0,1,6614218
2011,MD,23951836638,24000,..0,All industry total,False,324920900000.0,1,5840241
2011,ME,4449753735,23000,..0,All industry total,False,53104500000.0,1,1328473
2011,MI,104279575237,26000,..0,All industry total,False,408354100000.0,1,9883053
2011,MN,33125201612,27000,..0,All industry total,False,287070800000.0,1,5346620
